"classificador","train_size","accuracy"
"KNeighborsClassifier",1000,"0.7819800156873444"
"GaussianNB",1000,"0.6744023462810763"
"LinearDiscriminantAnalysis",1000,"0.7873171230774477"
"LogisticRegression",1000,"0.7291375370869283"
"Perceptron",1000,"0.7551751185076561"
"KNeighborsClassifier",2000,"0.8587797974286396"
"GaussianNB",2000,"0.7820652729938956"
"LinearDiscriminantAnalysis",2000,"0.8732564880810285"
"LogisticRegression",2000,"0.7825427139105822"
"Perceptron",2000,"0.883913651399925"
"KNeighborsClassifier",3000,"0.88573815776012"
"GaussianNB",3000,"0.8384374040855301"
"LinearDiscriminantAnalysis",3000,"0.893598881424138"
"LogisticRegression",3000,"0.8068922006615967"
"Perceptron",3000,"0.8999761279541657"
"KNeighborsClassifier",4000,"0.8897281997067149"
"GaussianNB",4000,"0.8449340108447294"
"LinearDiscriminantAnalysis",4000,"0.8853630256112949"
"LogisticRegression",4000,"0.8138150939535518"
"Perceptron",4000,"0.8974695631415612"
"KNeighborsClassifier",5000,"0.8939228591890325"
"GaussianNB",5000,"0.8550796303243188"
"LinearDiscriminantAnalysis",5000,"0.8905296183882959"
"LogisticRegression",5000,"0.8191351498823449"
"Perceptron",5000,"0.8578078641339563"
"KNeighborsClassifier",6000,"0.9167547658834362"
"GaussianNB",6000,"0.8692493946731235"
"LinearDiscriminantAnalysis",6000,"0.902329229614978"
"LogisticRegression",6000,"0.8419329536541281"
"Perceptron",6000,"0.912952290011254"
"KNeighborsClassifier",7000,"0.9248371585444872"
"GaussianNB",7000,"0.8743307301435733"
"LinearDiscriminantAnalysis",7000,"0.9124919005558776"
"LogisticRegression",7000,"0.8630597142175085"
"Perceptron",7000,"0.9163966851959213"
"KNeighborsClassifier",8000,"0.9292705384851482"
"GaussianNB",8000,"0.882464277188555"
"LinearDiscriminantAnalysis",8000,"0.920744807830031"
"LogisticRegression",8000,"0.8809125942093238"
"Perceptron",8000,"0.9255874228421376"
"KNeighborsClassifier",9000,"0.9326296763632643"
"GaussianNB",9000,"0.8873580465845923"
"LinearDiscriminantAnalysis",9000,"0.9236947106367016"
"LogisticRegression",9000,"0.8886198547215496"
"Perceptron",9000,"0.9312996623810661"
"KNeighborsClassifier",10000,"0.9348463663335947"
"GaussianNB",10000,"0.889080244176926"
"LinearDiscriminantAnalysis",10000,"0.92794052450295"
"LogisticRegression",10000,"0.8960201889301913"
"Perceptron",10000,"0.9294581045595608"
"KNeighborsClassifier",11000,"0.9344371312621491"
"GaussianNB",11000,"0.887409200968523"
"LinearDiscriminantAnalysis",11000,"0.9260819152201344"
"LogisticRegression",11000,"0.8957132626266071"
"Perceptron",11000,"0.9201309552228626"
"KNeighborsClassifier",12000,"0.9355113733246939"
"GaussianNB",12000,"0.8863690618285988"
"LinearDiscriminantAnalysis",12000,"0.9245472837022133"
"LogisticRegression",12000,"0.8964635269242575"
"Perceptron",12000,"0.8992429151178256"
"KNeighborsClassifier",13000,"0.9357841967056577"
"GaussianNB",13000,"0.8887051120281008"
"LinearDiscriminantAnalysis",13000,"0.9242574088599393"
"LogisticRegression",13000,"0.8988848344303106"
"Perceptron",13000,"0.9237117620980118"
"KNeighborsClassifier",14000,"0.9356818879377963"
"GaussianNB",14000,"0.8854823858404666"
"LinearDiscriminantAnalysis",14000,"0.9220577703509191"
"LogisticRegression",14000,"0.8982368789005217"
"Perceptron",14000,"0.9110084234218873"
"KNeighborsClassifier",15000,"0.9353408587115916"
"GaussianNB",15000,"0.884425195239232"
"LinearDiscriminantAnalysis",15000,"0.9208641680592027"
"LogisticRegression",15000,"0.8981857245165911"
"Perceptron",15000,"0.9075469767759097"
"KNeighborsClassifier",16000,"0.9370801077652354"
"GaussianNB",16000,"0.8858916209119122"
"LinearDiscriminantAnalysis",16000,"0.9210176312109948"
"LogisticRegression",16000,"0.9020223033113938"
"Perceptron",16000,"0.9276506496606759"
"KNeighborsClassifier",17000,"0.9368925416908229"
"GaussianNB",17000,"0.8864372676738397"
"LinearDiscriminantAnalysis",17000,"0.9231320124134639"
"LogisticRegression",17000,"0.9047675885823415"
"Perceptron",17000,"0.936534461003308"
"KNeighborsClassifier",18000,"0.9373017767622686"
"GaussianNB",18000,"0.8880230535756914"
"LinearDiscriminantAnalysis",18000,"0.9250588275415204"
"LogisticRegression",18000,"0.9079562118473553"
"Perceptron",18000,"0.9238481737884937"
"KNeighborsClassifier",19000,"0.9382225556730212"
"GaussianNB",19000,"0.8885345974149985"
"LinearDiscriminantAnalysis",19000,"0.9264229444463391"
"LogisticRegression",19000,"0.9101046959724448"
"Perceptron",19000,"0.9313167138423762"
"KNeighborsClassifier",20000,"0.9385465334379156"
"GaussianNB",20000,"0.889080244176926"
"LinearDiscriminantAnalysis",20000,"0.9278723186577089"
"LogisticRegression",20000,"0.9119121508713297"
"Perceptron",20000,"0.9405756573338335"
